,type,acc,noise,opt
0,gc,0.8996832654742573,0.0,mean
1,gc,0.9119140154210609,0.0,mean
2,gc,0.8869782116124814,0.0,mean
3,gc,0.9247063307120964,0.0,mean
4,gc,0.9163790980930596,0.0,mean
5,gc,0.8748915404792583,0.0,mean
6,gc,0.8583650290327742,0.0,mean
7,gc,0.8667513620170972,0.0,mean
8,gc,0.9194944775900886,0.0,mean
9,gc,0.8652209419786026,0.0,mean
10,gc,0.8791734759932467,0.0,mean
11,gc,0.9129646684508668,0.0,mean
12,gc,0.8827560110430224,0.0,mean
13,gc,0.8907467810168732,0.0,mean
14,gc,0.882072934867387,0.0,mean
15,gc,0.8950279644439757,0.0,mean
16,gc,0.9150423806601038,0.0,mean
17,gc,0.8808030573791946,0.0,mean
18,gc,0.886718436985009,0.0,mean
19,gc,0.8832520056220456,0.0,mean
20,gc,0.8839656356219573,0.1,mean
21,gc,0.8456411191274793,0.1,mean
22,gc,0.8075850497565564,0.1,mean
23,gc,0.8364554631924346,0.1,mean
24,gc,0.8339063458692223,0.1,mean
25,gc,0.871041455366905,0.1,mean
26,gc,0.8149977955171421,0.1,mean
27,gc,0.8713194495583277,0.1,mean
28,gc,0.8275951314513244,0.1,mean
29,gc,0.8473573163404599,0.1,mean
30,gc,0.8455599278796224,0.1,mean
31,gc,0.8562043716996695,0.1,mean
32,gc,0.8600415063633415,0.1,mean
33,gc,0.8000401039340976,0.1,mean
34,gc,0.8079646113100918,0.1,mean
35,gc,0.8540345289914167,0.1,mean
36,gc,0.8434886152463019,0.1,mean
37,gc,0.7998015418055402,0.1,mean
38,gc,0.7997609344445179,0.1,mean
39,gc,0.7970800424032156,0.1,mean
40,gc,0.8382453269509453,0.2,mean
41,gc,0.8178200246925542,0.2,mean
42,gc,0.7983225401273586,0.2,mean
43,gc,0.8149988740250897,0.2,mean
44,gc,0.8064064366728954,0.2,mean
45,gc,0.8178999983703964,0.2,mean
46,gc,0.7547169753412734,0.2,mean
47,gc,0.8333541673439416,0.2,mean
48,gc,0.8184481575665281,0.2,mean
49,gc,0.8053602874027448,0.2,mean
50,gc,0.8068774682900784,0.2,mean
51,gc,0.8243147256363799,0.2,mean
52,gc,0.8109382428234815,0.2,mean
53,gc,0.773475975286791,0.2,mean
54,gc,0.7878830023869801,0.2,mean
55,gc,0.8046918365284501,0.2,mean
56,gc,0.8157452033199215,0.2,mean
57,gc,0.7763036921795397,0.2,mean
58,gc,0.7717560785253607,0.2,mean
59,gc,0.7652042219131555,0.2,mean
60,gc,0.8136561468293791,0.3,mean
61,gc,0.8077077485359745,0.3,mean
62,gc,0.7993069979659354,0.3,mean
63,gc,0.7980960448572716,0.3,mean
64,gc,0.7932583749781809,0.3,mean
65,gc,0.8013297109774511,0.3,mean
66,gc,0.7252706653210679,0.3,mean
67,gc,0.8112069468149908,0.3,mean
68,gc,0.8176051670344613,0.3,mean
69,gc,0.7982891672500056,0.3,mean
70,gc,0.7783303199777204,0.3,mean
71,gc,0.8034281676635814,0.3,mean
72,gc,0.7732840763365209,0.3,mean
73,gc,0.7495059005250371,0.3,mean
74,gc,0.7710940914425489,0.3,mean
75,gc,0.7754295699431888,0.3,mean
76,gc,0.8034626629000154,0.3,mean
77,gc,0.7521610270206022,0.3,mean
78,gc,0.7427025189671671,0.3,mean
79,gc,0.7387930516351335,0.3,mean
80,gc,0.8090887062527511,0.4,mean
81,gc,0.795059397694162,0.4,mean
82,gc,0.8013726946861276,0.4,mean
83,gc,0.776936483504332,0.4,mean
84,gc,0.7677993801707169,0.4,mean
85,gc,0.7991746273455853,0.4,mean
86,gc,0.6952926279202016,0.4,mean
87,gc,0.8126266678293899,0.4,mean
88,gc,0.8130862273771718,0.4,mean
89,gc,0.7969919354707932,0.4,mean
90,gc,0.7465527931456718,0.4,mean
91,gc,0.7854400196297444,0.4,mean
92,gc,0.7395029049705759,0.4,mean
93,gc,0.7158882447153643,0.4,mean
94,gc,0.736675892884079,0.4,mean
95,gc,0.7447398563760893,0.4,mean
96,gc,0.7870243765976441,0.4,mean
97,gc,0.7174322997163373,0.4,mean
98,gc,0.7121252315454225,0.4,mean
99,gc,0.7079654977636434,0.4,mean
100,gc,0.7829949809632403,0.5,mean
101,gc,0.7610333553565122,0.5,mean
102,gc,0.7899011393689961,0.5,mean
103,gc,0.7278234987527868,0.5,mean
104,gc,0.7092582953374602,0.5,mean
105,gc,0.7813213546009127,0.5,mean
106,gc,0.6474082798679716,0.5,mean
107,gc,0.7928727357585941,0.5,mean
108,gc,0.7875446316769933,0.5,mean
109,gc,0.7821536186853709,0.5,mean
110,gc,0.6915839945146494,0.5,mean
111,gc,0.7350194970429611,0.5,mean
112,gc,0.6924389585966145,0.5,mean
113,gc,0.6424019476837118,0.5,mean
114,gc,0.6849079510537768,0.5,mean
115,gc,0.6967452231710788,0.5,mean
116,gc,0.7428528796303888,0.5,mean
117,gc,0.6596207625723703,0.5,mean
118,gc,0.6558555661737244,0.5,mean
119,gc,0.6528602618966582,0.5,mean
120,gc,0.7446872715990402,0.6,mean
121,gc,0.7124001160228163,0.6,mean
122,gc,0.7715267452701294,0.6,mean
123,gc,0.6636483464717399,0.6,mean
124,gc,0.6438126955514892,0.6,mean
125,gc,0.7465666840234675,0.6,mean
126,gc,0.5951483471627353,0.6,mean
127,gc,0.7727941361400154,0.6,mean
128,gc,0.7381366429276751,0.6,mean
129,gc,0.7527167785950765,0.6,mean
130,gc,0.6327772203883508,0.6,mean
131,gc,0.6679336730240405,0.6,mean
132,gc,0.6378513168925165,0.6,mean
133,gc,0.5633234395108182,0.6,mean
134,gc,0.6167133772895748,0.6,mean
135,gc,0.6390456310636389,0.6,mean
136,gc,0.6751815701783647,0.6,mean
137,gc,0.593094593765686,0.6,mean
138,gc,0.5989336276282481,0.6,mean
139,gc,0.5968553894757639,0.6,mean
140,gc,0.6852599523208406,0.7,mean
141,gc,0.661107014134432,0.7,mean
142,gc,0.7415782958923262,0.7,mean
143,gc,0.5914617328991018,0.7,mean
144,gc,0.5665606752349712,0.7,mean
145,gc,0.7011781337450393,0.7,mean
146,gc,0.5340162940540575,0.7,mean
147,gc,0.7338554005730094,0.7,mean
148,gc,0.6661624647918674,0.7,mean
149,gc,0.7061802391960876,0.7,mean
150,gc,0.583422719728248,0.7,mean
151,gc,0.5933461576223311,0.7,mean
152,gc,0.5786203971157498,0.7,mean
153,gc,0.4735385194894951,0.7,mean
154,gc,0.5471136944518019,0.7,mean
155,gc,0.5782398003303714,0.7,mean
156,gc,0.5950088141776888,0.7,mean
157,gc,0.5226400046536993,0.7,mean
158,gc,0.5298198916083552,0.7,mean
159,gc,0.5214097442353356,0.7,mean
160,gc,0.6000962604225086,0.8,mean
161,gc,0.5812993441808054,0.8,mean
162,gc,0.6786711707784574,0.8,mean
163,gc,0.5066422178036598,0.8,mean
164,gc,0.47356871130752315,0.8,mean
165,gc,0.6386353409735406,0.8,mean
166,gc,0.46255561894674174,0.8,mean
167,gc,0.669047585830653,0.8,mean
168,gc,0.5691252792586238,0.8,mean
169,gc,0.611503448733776,0.8,mean
170,gc,0.5214710584140232,0.8,mean
171,gc,0.5045611539409546,0.8,mean
172,gc,0.51229437607921,0.8,mean
173,gc,0.37710365017156927,0.8,mean
174,gc,0.4658421407081428,0.8,mean
175,gc,0.4952055275215793,0.8,mean
176,gc,0.49142655152448655,0.8,mean
177,gc,0.4368066113717196,0.8,mean
178,gc,0.45445149733512613,0.8,mean
179,gc,0.43327089121980056,0.8,mean
180,gc,0.5133769286464165,0.9,mean
181,gc,0.5014971550046766,0.9,mean
182,gc,0.6050374740648566,0.9,mean
183,gc,0.43106834933876675,0.9,mean
184,gc,0.39917661824355566,0.9,mean
185,gc,0.5637606081174239,0.9,mean
186,gc,0.39357228465942745,0.9,mean
187,gc,0.5973437289139532,0.9,mean
188,gc,0.47421190073704517,0.9,mean
189,gc,0.5139617885795286,0.9,mean
190,gc,0.4668295785754566,0.9,mean
191,gc,0.41875960044880267,0.9,mean
192,gc,0.4433945111173542,0.9,mean
193,gc,0.2971540759959386,0.9,mean
194,gc,0.39541005554845465,0.9,mean
195,gc,0.4165383594310718,0.9,mean
196,gc,0.3978478832192039,0.9,mean
197,gc,0.3562935861110299,0.9,mean
198,gc,0.389420140361849,0.9,mean
199,gc,0.3609718226470762,0.9,mean
200,gc,0.43828179753305907,1.0,mean
201,gc,0.42571869460269535,1.0,mean
202,gc,0.5203820374326791,1.0,mean
203,gc,0.3606799136741546,1.0,mean
204,gc,0.33109327004606437,1.0,mean
205,gc,0.5011433055728304,1.0,mean
206,gc,0.33096348275672316,1.0,mean
207,gc,0.5215262727286978,1.0,mean
208,gc,0.39586882616685926,1.0,mean
209,gc,0.4250171045897325,1.0,mean
210,gc,0.40690132515014665,1.0,mean
211,gc,0.3403365026942536,1.0,mean
212,gc,0.3816804590964272,1.0,mean
213,gc,0.24898794097933824,1.0,mean
214,gc,0.34000770580108475,1.0,mean
215,gc,0.351866940798383,1.0,mean
216,gc,0.335525629833485,1.0,mean
217,gc,0.29500516735589993,1.0,mean
218,gc,0.3322067472437662,1.0,mean
219,gc,0.3070249723215831,1.0,mean
